hour,load_pu,load_MW
0:00-1:00,0.2283,1.3698000000000001
1:00-2:00,0.1833,1.0997999999999999
2:00-3:00,0.1333,0.7998000000000001
3:00-4:00,0.165,0.99
4:00-5:00,0.1967,1.1802000000000001
5:00-6:00,0.2717,1.6301999999999999
6:00-7:00,0.4167,2.5002
7:00-8:00,0.5617,3.3701999999999996
8:00-9:00,0.6683,4.0098
9:00-10:00,0.7,4.199999999999999
10:00-11:00,0.6867,4.1202
11:00-12:00,0.65,3.9000000000000004
12:00-13:00,0.5433,3.2598000000000003
13:00-14:00,0.4483,2.6898
14:00-15:00,0.605,3.63
15:00-16:00,0.6367,3.8202000000000003
16:00-17:00,0.625,3.75
17:00-18:00,0.5233,3.1398
18:00-19:00,0.435,2.61
19:00-20:00,0.3533,2.1198
20:00-21:00,0.31,1.8599999999999999
21:00-22:00,0.2717,1.6301999999999999
22:00-23:00,0.26,1.56
23:00-24:00,0.2467,1.4802
