hour,wind_scenario_1,wind_scenario_2,wind_scenario_3,wind_scenario_4,wind_scenario_5,wind_scenario_6,wind_scenario_1_MW,wind_scenario_2_MW,wind_scenario_3_MW,wind_scenario_4_MW,wind_scenario_5_MW,wind_scenario_6_MW
0:00-1:00,0.2444,0.1328,0.2976,0.3374,0.2444,0.2362,9.776,5.312,11.904,13.495999999999999,9.776,9.448
1:00-2:00,0.2726,0.2125,0.3346,0.3521,0.3375,0.2626,10.904,8.5,13.384,14.084000000000001,13.5,10.504
2:00-3:00,0.3788,0.2345,0.3567,0.3273,0.3848,0.2947,15.152000000000001,9.379999999999999,14.268,13.091999999999999,15.392,11.788
3:00-4:00,0.3328,0.2576,0.393,0.5042,0.3328,0.2876,13.312,10.304,15.72,20.168,13.312,11.504000000000001
4:00-5:00,0.3768,0.2475,0.3772,0.4819,0.3786,0.279,15.072000000000001,9.9,15.088,19.276,15.144,11.16
5:00-6:00,0.4681,0.2405,0.3369,0.577,0.3579,0.2741,18.724,9.62,13.475999999999999,23.08,14.315999999999999,10.964
6:00-7:00,0.2407,0.2285,0.3458,0.7089,0.4463,0.2686,9.628,9.14,13.832,28.355999999999998,17.852,10.744
7:00-8:00,0.5701,0.191,0.319,0.659,0.2407,0.2585,22.804000000000002,7.640000000000001,12.76,26.36,9.628,10.34
8:00-9:00,0.4463,0.1187,0.2678,0.6269,0.5581,0.2418,17.852,4.748,10.712,25.076,22.324,9.671999999999999
9:00-10:00,0.3582,0.1215,0.2979,0.5528,0.5232,0.1737,14.328000000000001,4.859999999999999,11.916,22.112,20.928,6.9479999999999995
10:00-11:00,0.2976,0.1334,0.2201,0.2249,0.3999,0.151,11.904,5.335999999999999,8.804,8.995999999999999,15.995999999999999,6.04
11:00-12:00,0.1934,0.1073,0.2325,0.1913,0.3582,0.1515,7.736,4.292,9.3,7.652,14.328000000000001,6.06
12:00-13:00,0.2139,0.1042,0.2253,0.2704,0.3185,0.1632,8.556000000000001,4.168,9.012,10.815999999999999,12.74,6.5280000000000005
13:00-14:00,0.363,0.1697,0.2676,0.2738,0.3203,0.1442,14.52,6.787999999999999,10.704,10.952,12.812,5.768
14:00-15:00,0.1677,0.2091,0.2651,0.3788,0.2064,0.1358,6.707999999999999,8.364,10.604,15.152000000000001,8.256,5.432
15:00-16:00,0.2794,0.2101,0.3638,0.5415,0.2139,0.1342,11.175999999999998,8.404,14.552,21.66,8.556000000000001,5.368
16:00-17:00,0.2527,0.1474,0.3431,0.429,0.3916,0.1664,10.107999999999999,5.896,13.724,17.16,15.664,6.656
17:00-18:00,0.1596,0.1652,0.3087,0.4153,0.2093,0.2102,6.3839999999999995,6.6080000000000005,12.347999999999999,16.612000000000002,8.372,8.408
18:00-19:00,0.1607,0.1563,0.3038,0.3832,0.1968,0.2702,6.428000000000001,6.252,12.152000000000001,15.328,7.872,10.808
19:00-20:00,0.1434,0.1078,0.2309,0.2354,0.2794,0.2401,5.736,4.312,9.236,9.416,11.175999999999998,9.604000000000001
20:00-21:00,0.0938,0.0582,0.1807,0.2202,0.2471,0.1708,3.752,2.3280000000000003,7.228,8.808,9.884,6.832000000000001
21:00-22:00,0.0923,0.0373,0.1563,0.1304,0.2255,0.2096,3.6919999999999997,1.492,6.252,5.215999999999999,9.02,8.384
22:00-23:00,0.122,0.0531,0.1613,0.1538,0.1551,0.1922,4.88,2.124,6.452,6.151999999999999,6.204,7.688000000000001
23:00-24:00,0.0798,0.0924,0.1993,0.2116,0.4232,0.2418,3.1919999999999997,3.6959999999999997,7.972,8.464,16.928,9.671999999999999
