hour,wind_pu,solar_pu,wind_MW,solar_MW
0:00-1:00,0.2726,0.0,10.904,0.0
1:00-2:00,0.3788,0.0,15.152000000000001,0.0
2:00-3:00,0.3328,0.0,13.312,0.0
3:00-4:00,0.3768,0.0,15.072000000000001,0.0
4:00-5:00,0.4681,0.0,18.724,0.0
5:00-6:00,0.2407,0.02,9.628,1.28
6:00-7:00,0.5701,0.12,22.804000000000002,7.68
7:00-8:00,0.4463,0.28,17.852,17.92
8:00-9:00,0.3582,0.45,14.328000000000001,28.8
9:00-10:00,0.2976,0.58,11.904,37.12
10:00-11:00,0.1934,0.67,7.736,42.88
11:00-12:00,0.2139,0.7,8.556000000000001,44.8
12:00-13:00,0.363,0.72,14.52,46.08
13:00-14:00,0.1677,0.67,6.707999999999999,42.88
14:00-15:00,0.2794,0.58,11.175999999999998,37.12
15:00-16:00,0.2527,0.45,10.107999999999999,28.8
16:00-17:00,0.1596,0.28,6.3839999999999995,17.92
17:00-18:00,0.1607,0.08,6.428000000000001,5.12
18:00-19:00,0.1434,0.0,5.736,0.0
19:00-20:00,0.0938,0.0,3.752,0.0
20:00-21:00,0.0923,0.0,3.6919999999999997,0.0
21:00-22:00,0.122,0.0,4.88,0.0
22:00-23:00,0.0625,0.0,2.5,0.0
23:00-24:00,0.0798,0.0,3.1919999999999997,0.0
